
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2000.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep   10/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 0.0000 | ε: 0.996
Ep  690/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 374.4640 | ε: 0.673
Ep  700/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 407.7945 | ε: 0.668
Ep  710/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 457.9804 | ε: 0.663
Ep  720/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 436.7185 | ε: 0.658
Ep  730/3000 | Avg_Score:      1 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 433.6056 | ε: 0.654
Ep  740/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 395.9672 | ε: 0.649
Ep  750/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 441.1349 | ε: 0.644
Ep  760/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 394.3836 | ε: 0.639
Ep  770/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 388.3580 | ε: 0.635
Ep  780/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 397.4846 | ε: 0.630
Ep  790/3000 | Avg_Score:      0 | Avg_Pieces: 15 | Avg_Lines: 0 | Avg_Loss: 391.3127 | ε: 0.625
Ep  800/3000 | Avg_Score:      1 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 401.4569 | ε: 0.620
Ep  810/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 461.7591 | ε: 0.616
Ep  820/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 435.1466 | ε: 0.611
Ep  830/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 455.4944 | ε: 0.606
Ep  840/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 419.2769 | ε: 0.601
Ep  850/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 426.7294 | ε: 0.597
Ep  860/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 438.0107 | ε: 0.592
Ep  870/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 402.9367 | ε: 0.587
Ep  880/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 419.8776 | ε: 0.582
Ep  890/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 408.8264 | ε: 0.578
Ep  900/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 403.7155 | ε: 0.573
Ep  910/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 377.2791 | ε: 0.568
Ep  920/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 379.2834 | ε: 0.563
Ep  930/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 399.6550 | ε: 0.559
Ep  940/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 392.8978 | ε: 0.554
Ep  950/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 337.4805 | ε: 0.549
Ep  960/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 373.0510 | ε: 0.544
Ep  970/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 317.7509 | ε: 0.540
Ep  980/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 385.5301 | ε: 0.535
Ep  990/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 371.2817 | ε: 0.530
Ep 1000/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 339.9417 | ε: 0.525
Ep 1010/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 357.3634 | ε: 0.521
Ep 1020/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 342.3245 | ε: 0.516
Ep 1030/3000 | Avg_Score:      2 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 330.6150 | ε: 0.511
Ep 1040/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 318.6596 | ε: 0.506
Ep 1050/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 300.2426 | ε: 0.502
Ep 1060/3000 | Avg_Score:      0 | Avg_Pieces: 22 | Avg_Lines: 0 | Avg_Loss: 311.9514 | ε: 0.497
Ep 1070/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 348.8429 | ε: 0.492
Ep 1080/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 367.5107 | ε: 0.487
Ep 1090/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 393.9883 | ε: 0.483
Ep 1100/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 355.7741 | ε: 0.478
Ep 1110/3000 | Avg_Score:      1 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 291.2128 | ε: 0.473
Ep 1120/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 300.4312 | ε: 0.468
Ep 1130/3000 | Avg_Score:      1 | Avg_Pieces: 22 | Avg_Lines: 0 | Avg_Loss: 308.9284 | ε: 0.464
Ep 1140/3000 | Avg_Score:      1 | Avg_Pieces: 22 | Avg_Lines: 0 | Avg_Loss: 307.6896 | ε: 0.459
New best score: 22 (< 1000, chưa lưu file)
New best score: 44 (< 1000, chưa lưu file)
Ep 1150/3000 | Avg_Score:      7 | Avg_Pieces: 24 | Avg_Lines: 1 | Avg_Loss: 318.4637 | ε: 0.454
Ep 1160/3000 | Avg_Score:      2 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 352.6353 | ε: 0.449
Ep 1170/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 300.3181 | ε: 0.445
Ep 1180/3000 | Avg_Score:      2 | Avg_Pieces: 23 | Avg_Lines: 0 | Avg_Loss: 321.3482 | ε: 0.440
Ep 1190/3000 | Avg_Score:      0 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 396.6569 | ε: 0.435
Ep 1200/3000 | Avg_Score:      0 | Avg_Pieces: 23 | Avg_Lines: 0 | Avg_Loss: 321.7647 | ε: 0.430
Ep 1210/3000 | Avg_Score:      0 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 352.6625 | ε: 0.426
Ep 1220/3000 | Avg_Score:      0 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 330.1557 | ε: 0.421
Ep 1230/3000 | Avg_Score:      0 | Avg_Pieces: 23 | Avg_Lines: 0 | Avg_Loss: 337.8829 | ε: 0.416
Ep 1240/3000 | Avg_Score:      0 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 346.0560 | ε: 0.411
Ep 1250/3000 | Avg_Score:      1 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 350.9177 | ε: 0.407
Ep 1260/3000 | Avg_Score:      2 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 370.0371 | ε: 0.402
Ep 1270/3000 | Avg_Score:      4 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 431.2918 | ε: 0.397
Ep 1280/3000 | Avg_Score:      1 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 400.1046 | ε: 0.392
Ep 1290/3000 | Avg_Score:      1 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 462.6777 | ε: 0.388
Ep 1300/3000 | Avg_Score:      0 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 442.4624 | ε: 0.383
Ep 1310/3000 | Avg_Score:      1 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 455.4470 | ε: 0.378
Ep 1320/3000 | Avg_Score:      4 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 523.8780 | ε: 0.373
Ep 1330/3000 | Avg_Score:      8 | Avg_Pieces: 28 | Avg_Lines: 1 | Avg_Loss: 540.7461 | ε: 0.369
Ep 1340/3000 | Avg_Score:      6 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 459.5548 | ε: 0.364
Ep 1350/3000 | Avg_Score:     11 | Avg_Pieces: 32 | Avg_Lines: 1 | Avg_Loss: 469.8804 | ε: 0.359
New best score: 102 (< 1000, chưa lưu file)
Ep 1360/3000 | Avg_Score:     15 | Avg_Pieces: 29 | Avg_Lines: 1 | Avg_Loss: 539.3957 | ε: 0.354
Ep 1370/3000 | Avg_Score:      5 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 461.4437 | ε: 0.350
Ep 1380/3000 | Avg_Score:      4 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 513.7431 | ε: 0.345
Ep 1390/3000 | Avg_Score:      0 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 478.9745 | ε: 0.340
Ep 1400/3000 | Avg_Score:      1 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 486.5354 | ε: 0.335
Ep 1410/3000 | Avg_Score:      2 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 487.8510 | ε: 0.331
Ep 1420/3000 | Avg_Score:      3 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 393.7057 | ε: 0.326
Ep 1430/3000 | Avg_Score:      7 | Avg_Pieces: 29 | Avg_Lines: 1 | Avg_Loss: 413.5134 | ε: 0.321
Ep 1440/3000 | Avg_Score:      2 | Avg_Pieces: 29 | Avg_Lines: 0 | Avg_Loss: 467.9940 | ε: 0.316
Ep 1450/3000 | Avg_Score:      3 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 502.7450 | ε: 0.312
Ep 1460/3000 | Avg_Score:      6 | Avg_Pieces: 32 | Avg_Lines: 0 | Avg_Loss: 463.4993 | ε: 0.307
Ep 1470/3000 | Avg_Score:     18 | Avg_Pieces: 30 | Avg_Lines: 2 | Avg_Loss: 459.4806 | ε: 0.302
Ep 1480/3000 | Avg_Score:      4 | Avg_Pieces: 32 | Avg_Lines: 0 | Avg_Loss: 492.4052 | ε: 0.297
Ep 1490/3000 | Avg_Score:      6 | Avg_Pieces: 30 | Avg_Lines: 0 | Avg_Loss: 512.5478 | ε: 0.293
Ep 1500/3000 | Avg_Score:     18 | Avg_Pieces: 33 | Avg_Lines: 2 | Avg_Loss: 513.1487 | ε: 0.288
Ep 1510/3000 | Avg_Score:     13 | Avg_Pieces: 32 | Avg_Lines: 1 | Avg_Loss: 531.9558 | ε: 0.283
New best score: 259 (< 1000, chưa lưu file)
Ep 1520/3000 | Avg_Score:     34 | Avg_Pieces: 33 | Avg_Lines: 2 | Avg_Loss: 512.6797 | ε: 0.278
Ep 1530/3000 | Avg_Score:     13 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 545.9234 | ε: 0.274
Ep 1540/3000 | Avg_Score:     10 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 447.3323 | ε: 0.269
Ep 1550/3000 | Avg_Score:     28 | Avg_Pieces: 37 | Avg_Lines: 2 | Avg_Loss: 466.9324 | ε: 0.264
Ep 1560/3000 | Avg_Score:      3 | Avg_Pieces: 32 | Avg_Lines: 0 | Avg_Loss: 585.9035 | ε: 0.259
Ep 1570/3000 | Avg_Score:     11 | Avg_Pieces: 34 | Avg_Lines: 1 | Avg_Loss: 588.9762 | ε: 0.255
Ep 1580/3000 | Avg_Score:      3 | Avg_Pieces: 32 | Avg_Lines: 0 | Avg_Loss: 645.9003 | ε: 0.250
Ep 1590/3000 | Avg_Score:     21 | Avg_Pieces: 32 | Avg_Lines: 2 | Avg_Loss: 691.7115 | ε: 0.245
Ep 1600/3000 | Avg_Score:      3 | Avg_Pieces: 32 | Avg_Lines: 0 | Avg_Loss: 595.0500 | ε: 0.240
Ep 1610/3000 | Avg_Score:      6 | Avg_Pieces: 31 | Avg_Lines: 0 | Avg_Loss: 717.0193 | ε: 0.236
Ep 1620/3000 | Avg_Score:     12 | Avg_Pieces: 31 | Avg_Lines: 1 | Avg_Loss: 630.6161 | ε: 0.231
Ep 1630/3000 | Avg_Score:     14 | Avg_Pieces: 30 | Avg_Lines: 1 | Avg_Loss: 680.4910 | ε: 0.226
Ep 1640/3000 | Avg_Score:     27 | Avg_Pieces: 34 | Avg_Lines: 2 | Avg_Loss: 587.9950 | ε: 0.221
