
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep 1140/3000 | Avg_Score:      1 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 235.3091 | ε: 0.614
Ep 1150/3000 | Avg_Score:      4 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 226.1317 | ε: 0.610
Ep 1160/3000 | Avg_Score:      1 | Avg_Pieces: 23 | Avg_Lines: 0 | Avg_Loss: 216.0676 | ε: 0.607
Ep 1170/3000 | Avg_Score:      4 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 248.3522 | ε: 0.603
Ep 1180/3000 | Avg_Score:      7 | Avg_Pieces: 25 | Avg_Lines: 1 | Avg_Loss: 263.5186 | ε: 0.600
Ep 1190/3000 | Avg_Score:      1 | Avg_Pieces: 22 | Avg_Lines: 0 | Avg_Loss: 288.8846 | ε: 0.597
Ep 1200/3000 | Avg_Score:      7 | Avg_Pieces: 26 | Avg_Lines: 1 | Avg_Loss: 248.9081 | ε: 0.593
Ep 1210/3000 | Avg_Score:      1 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 273.8007 | ε: 0.590
Ep 1220/3000 | Avg_Score:      4 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 307.1040 | ε: 0.586
Ep 1230/3000 | Avg_Score:      0 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 250.0607 | ε: 0.583
Ep 1240/3000 | Avg_Score:      6 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 290.4148 | ε: 0.580
Ep 1250/3000 | Avg_Score:      0 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 240.2012 | ε: 0.576
Ep 1260/3000 | Avg_Score:      2 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 313.3368 | ε: 0.573
