
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.0005
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep 1170/3000 | Best_Score:      0 | Best_Pieces:  20 | Best_Lines:   0 | Avg_Loss: 693.7549 | ε: 0.603
Ep 1180/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 733.4123 | ε: 0.600
Ep 1190/3000 | Best_Score:      0 | Best_Pieces:  19 | Best_Lines:   0 | Avg_Loss: 772.7859 | ε: 0.597
Ep 1200/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 739.3828 | ε: 0.593
Ep 1210/3000 | Best_Score:     11 | Best_Pieces:  26 | Best_Lines:   1 | Avg_Loss: 842.3486 | ε: 0.590
Ep 1220/3000 | Best_Score:      0 | Best_Pieces:  20 | Best_Lines:   0 | Avg_Loss: 778.0936 | ε: 0.586
Ep 1230/3000 | Best_Score:     11 | Best_Pieces:  26 | Best_Lines:   1 | Avg_Loss: 707.7384 | ε: 0.583
Ep 1240/3000 | Best_Score:     11 | Best_Pieces:  22 | Best_Lines:   1 | Avg_Loss: 732.6966 | ε: 0.580
Ep 1250/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 757.3227 | ε: 0.576
Ep 1260/3000 | Best_Score:      0 | Best_Pieces:  30 | Best_Lines:   0 | Avg_Loss: 705.8200 | ε: 0.573
Ep 1270/3000 | Best_Score:      0 | Best_Pieces:  30 | Best_Lines:   0 | Avg_Loss: 699.4492 | ε: 0.569
Ep 1280/3000 | Best_Score:     11 | Best_Pieces:  27 | Best_Lines:   1 | Avg_Loss: 725.3073 | ε: 0.566
Ep 1290/3000 | Best_Score:      0 | Best_Pieces:  27 | Best_Lines:   0 | Avg_Loss: 691.8285 | ε: 0.563
Ep 1300/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 769.5600 | ε: 0.559
Ep 1310/3000 | Best_Score:     11 | Best_Pieces:  24 | Best_Lines:   1 | Avg_Loss: 730.4434 | ε: 0.556
Ep 1320/3000 | Best_Score:     11 | Best_Pieces:  25 | Best_Lines:   1 | Avg_Loss: 674.1621 | ε: 0.552
Ep 1330/3000 | Best_Score:      0 | Best_Pieces:  28 | Best_Lines:   0 | Avg_Loss: 603.9094 | ε: 0.549
Ep 1340/3000 | Best_Score:     11 | Best_Pieces:  29 | Best_Lines:   1 | Avg_Loss: 643.8238 | ε: 0.546
Ep 1350/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 580.4020 | ε: 0.542
Ep 1360/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 593.1789 | ε: 0.539
Ep 1370/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 619.2225 | ε: 0.536
Ep 1380/3000 | Best_Score:      0 | Best_Pieces:  28 | Best_Lines:   0 | Avg_Loss: 603.3243 | ε: 0.532
Ep 1390/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 589.0004 | ε: 0.529
Ep 1400/3000 | Best_Score:     11 | Best_Pieces:  27 | Best_Lines:   1 | Avg_Loss: 626.5783 | ε: 0.525
Ep 1410/3000 | Best_Score:     11 | Best_Pieces:  26 | Best_Lines:   1 | Avg_Loss: 594.3313 | ε: 0.522
Ep 1420/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 583.8124 | ε: 0.519
Ep 1430/3000 | Best_Score:     11 | Best_Pieces:  31 | Best_Lines:   1 | Avg_Loss: 574.2613 | ε: 0.515
Ep 1440/3000 | Best_Score:     11 | Best_Pieces:  28 | Best_Lines:   1 | Avg_Loss: 606.3396 | ε: 0.512
Ep 1450/3000 | Best_Score:      0 | Best_Pieces:  29 | Best_Lines:   0 | Avg_Loss: 572.0300 | ε: 0.508
Ep 1460/3000 | Best_Score:      0 | Best_Pieces:  20 | Best_Lines:   0 | Avg_Loss: 607.4714 | ε: 0.505
Ep 1470/3000 | Best_Score:      0 | Best_Pieces:  28 | Best_Lines:   0 | Avg_Loss: 537.2548 | ε: 0.502
Ep 1480/3000 | Best_Score:     11 | Best_Pieces:  26 | Best_Lines:   1 | Avg_Loss: 565.8808 | ε: 0.498
Ep 1490/3000 | Best_Score:     11 | Best_Pieces:  28 | Best_Lines:   1 | Avg_Loss: 562.2177 | ε: 0.495
Ep 1500/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 581.9775 | ε: 0.491
New best score: 22 (< 1000, chưa lưu file)
New best score: 33 (< 1000, chưa lưu file)
Ep 1510/3000 | Best_Score:     33 | Best_Pieces:  37 | Best_Lines:   3 | Avg_Loss: 535.9094 | ε: 0.488
Ep 1520/3000 | Best_Score:     11 | Best_Pieces:  33 | Best_Lines:   1 | Avg_Loss: 490.7998 | ε: 0.485
Ep 1530/3000 | Best_Score:     11 | Best_Pieces:  27 | Best_Lines:   1 | Avg_Loss: 503.5962 | ε: 0.481
Ep 1540/3000 | Best_Score:     22 | Best_Pieces:  34 | Best_Lines:   2 | Avg_Loss: 496.7338 | ε: 0.478
Ep 1550/3000 | Best_Score:     11 | Best_Pieces:  28 | Best_Lines:   1 | Avg_Loss: 488.0352 | ε: 0.474
Ep 1560/3000 | Best_Score:     11 | Best_Pieces:  32 | Best_Lines:   1 | Avg_Loss: 493.0725 | ε: 0.471
Ep 1570/3000 | Best_Score:     11 | Best_Pieces:  30 | Best_Lines:   1 | Avg_Loss: 494.0306 | ε: 0.468
Ep 1580/3000 | Best_Score:      0 | Best_Pieces:  32 | Best_Lines:   0 | Avg_Loss: 507.8260 | ε: 0.464
Ep 1590/3000 | Best_Score:      0 | Best_Pieces:  28 | Best_Lines:   0 | Avg_Loss: 497.7142 | ε: 0.461
Ep 1600/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 477.6333 | ε: 0.457
Ep 1610/3000 | Best_Score:     11 | Best_Pieces:  28 | Best_Lines:   1 | Avg_Loss: 531.7090 | ε: 0.454
Ep 1620/3000 | Best_Score:      0 | Best_Pieces:  29 | Best_Lines:   0 | Avg_Loss: 572.4301 | ε: 0.451
Ep 1630/3000 | Best_Score:      0 | Best_Pieces:  31 | Best_Lines:   0 | Avg_Loss: 493.7073 | ε: 0.447
Ep 1640/3000 | Best_Score:     11 | Best_Pieces:  33 | Best_Lines:   1 | Avg_Loss: 500.5051 | ε: 0.444
Ep 1650/3000 | Best_Score:     22 | Best_Pieces:  35 | Best_Lines:   2 | Avg_Loss: 556.8375 | ε: 0.441
Ep 1660/3000 | Best_Score:     22 | Best_Pieces:  34 | Best_Lines:   2 | Avg_Loss: 497.9619 | ε: 0.437
Ep 1670/3000 | Best_Score:      0 | Best_Pieces:  30 | Best_Lines:   0 | Avg_Loss: 563.0009 | ε: 0.434
New best score: 41 (< 1000, chưa lưu file)
Ep 1680/3000 | Best_Score:     41 | Best_Pieces:  30 | Best_Lines:   2 | Avg_Loss: 561.3784 | ε: 0.430
New best score: 66 (< 1000, chưa lưu file)
Ep 1690/3000 | Best_Score:     66 | Best_Pieces:  42 | Best_Lines:   6 | Avg_Loss: 508.5080 | ε: 0.427
Ep 1700/3000 | Best_Score:     52 | Best_Pieces:  37 | Best_Lines:   3 | Avg_Loss: 532.8292 | ε: 0.424
New best score: 74 (< 1000, chưa lưu file)
Ep 1710/3000 | Best_Score:     74 | Best_Pieces:  47 | Best_Lines:   5 | Avg_Loss: 604.4950 | ε: 0.420
Ep 1720/3000 | Best_Score:     11 | Best_Pieces:  30 | Best_Lines:   1 | Avg_Loss: 526.1611 | ε: 0.417
Ep 1730/3000 | Best_Score:      0 | Best_Pieces:  31 | Best_Lines:   0 | Avg_Loss: 533.4043 | ε: 0.413
Ep 1740/3000 | Best_Score:      0 | Best_Pieces:  27 | Best_Lines:   0 | Avg_Loss: 594.6516 | ε: 0.410
Ep 1750/3000 | Best_Score:     55 | Best_Pieces:  39 | Best_Lines:   5 | Avg_Loss: 602.7304 | ε: 0.407
Ep 1760/3000 | Best_Score:     11 | Best_Pieces:  34 | Best_Lines:   1 | Avg_Loss: 595.7500 | ε: 0.403
Ep 1770/3000 | Best_Score:     44 | Best_Pieces:  38 | Best_Lines:   4 | Avg_Loss: 513.9739 | ε: 0.400
Ep 1780/3000 | Best_Score:     63 | Best_Pieces:  42 | Best_Lines:   4 | Avg_Loss: 571.9648 | ε: 0.396
Ep 1790/3000 | Best_Score:      0 | Best_Pieces:  37 | Best_Lines:   0 | Avg_Loss: 527.3878 | ε: 0.393
Ep 1800/3000 | Best_Score:     11 | Best_Pieces:  37 | Best_Lines:   1 | Avg_Loss: 591.5583 | ε: 0.390
Ep 1810/3000 | Best_Score:     66 | Best_Pieces:  44 | Best_Lines:   6 | Avg_Loss: 567.4666 | ε: 0.386
Ep 1820/3000 | Best_Score:     22 | Best_Pieces:  32 | Best_Lines:   2 | Avg_Loss: 566.1685 | ε: 0.383
Ep 1830/3000 | Best_Score:     44 | Best_Pieces:  43 | Best_Lines:   4 | Avg_Loss: 505.5809 | ε: 0.379
Ep 1840/3000 | Best_Score:     41 | Best_Pieces:  41 | Best_Lines:   3 | Avg_Loss: 580.4678 | ε: 0.376
Ep 1850/3000 | Best_Score:     74 | Best_Pieces:  45 | Best_Lines:   5 | Avg_Loss: 497.3271 | ε: 0.373
Ep 1860/3000 | Best_Score:     44 | Best_Pieces:  44 | Best_Lines:   4 | Avg_Loss: 607.0873 | ε: 0.369
Ep 1870/3000 | Best_Score:     74 | Best_Pieces:  39 | Best_Lines:   5 | Avg_Loss: 570.3909 | ε: 0.366
Ep 1880/3000 | Best_Score:     44 | Best_Pieces:  36 | Best_Lines:   4 | Avg_Loss: 513.2179 | ε: 0.362
Ep 1890/3000 | Best_Score:     41 | Best_Pieces:  39 | Best_Lines:   2 | Avg_Loss: 718.9701 | ε: 0.359
New best score: 96 (< 1000, chưa lưu file)
Ep 1900/3000 | Best_Score:     96 | Best_Pieces:  49 | Best_Lines:   7 | Avg_Loss: 515.2334 | ε: 0.356
Ep 1910/3000 | Best_Score:     66 | Best_Pieces:  46 | Best_Lines:   6 | Avg_Loss: 507.0694 | ε: 0.352
Ep 1920/3000 | Best_Score:     33 | Best_Pieces:  38 | Best_Lines:   3 | Avg_Loss: 455.5982 | ε: 0.349
Ep 1930/3000 | Best_Score:     44 | Best_Pieces:  44 | Best_Lines:   4 | Avg_Loss: 491.1923 | ε: 0.346
Ep 1940/3000 | Best_Score:     82 | Best_Pieces:  44 | Best_Lines:   4 | Avg_Loss: 481.8711 | ε: 0.342
Ep 1950/3000 | Best_Score:     44 | Best_Pieces:  44 | Best_Lines:   4 | Avg_Loss: 505.5505 | ε: 0.339
Ep 1960/3000 | Best_Score:     52 | Best_Pieces:  38 | Best_Lines:   3 | Avg_Loss: 643.0656 | ε: 0.335
New best score: 102 (< 1000, chưa lưu file)
Ep 1970/3000 | Best_Score:    102 | Best_Pieces:  49 | Best_Lines:   6 | Avg_Loss: 576.4677 | ε: 0.332
Ep 1980/3000 | Best_Score:     91 | Best_Pieces:  44 | Best_Lines:   3 | Avg_Loss: 568.6978 | ε: 0.329
New best score: 172 (< 1000, chưa lưu file)
